"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT  ,,,,,,,,,,,,
,,,,,,,,,,,,
FILE NAME : RECTYPE.DOC,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 1,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM  TO,VALUE DESCRIPTION,REMARKS,,,,
RECORD TYPE - 1,IDENTIFICATION :-, ,, , ,,,,,,,
,I) SURVEY MONTH,cover page (front),MON,2,  N, 1    -   2,,,,,,
,ii)  DIVISION CODE,          “,DIV,1,  N, 3    -   3,"CHITTAGONG=1, DHAKA=2,KHULNA = 3, RAJSHAHI = 4,BARISAL-5,SYLHET=6",,,,,
,iii)  REGION CODE ,          “,REGION,2,  N, 4  -     5, ,,,,,
,iv)   DISTRICT,          “,DIST,2,,6   -    7,,,,,,
,v)   THANA,          “,THANA,2,  N,8    -   9,,,,,,
,vi)  UNION/WARD,           “,UNWA,2,  N,10  -    11, ,,,,,
,vii) MOUZA/MOHALLA(PSU),          “,MOUZA,3,  N,12    -  14,,,,,,
,viii) URBAN/RURAL CODE (RMO),          “,UR,1,  N,15    -  15,"1=RURAL, 2=MUNICIPALITY, 4=SMA (URBAN=2 & 4)",,,,,
,ix) HOUSEHOLD NUMBER,           “,HHNO,3,  N,16  -   18,01 - 20,,,,,
2,RECORD TYPE, Left top corner,RECTP,1,  N,19   -   19,ALWAYS ’1’,,,,,
3,RECORD SERIAL/MEMBER SERIAL,          “,RECSL,2,  N,20  -    21,"01 for 1st record, 02 for 2nd record etc.",,,,,
,OTHER INFORMATION OF RECORD:,,RECINFO,199,  C,22  -   220,,,,,,
4,MEMBER INFORMATION-1:-,,,,,,,,,,,
,i)  SEX,"Page-4, Col-3",SEX ,1,  N,   22  -  22,    1 - 2,,,,,
,ii)  RELATION," Page-4, Col-4 ",REL ,1,   N,   23  -  23,    1 - 6,,,,,
,iii)  AGE," Page-4, Col-5  ",AGE ,2,   N,   24  -  25   ,    ,,,,,
,iv)  MARITAL STATUS," Page-4, Col-6",M-STS ,1,   N,   26  -  26,    1 - 4,,,,,
,v) COL-8 (OCCUPATION STATUS)," page-4 , Col- 8",COL8,1,   N,   27  -  27,    1 - 8,,,,,
,vi ) COL-10(OCCUPATION CODE)," Page-4, Col-10",COL10,2,   N   ,    28 -  29,   01 - 31,,,,,
,vii) COL-12 (INISTITUTION CODE)," Page-4, Col-12",COL12,2,   N  ,    30 - 31     ,"    11 - 15,20,30,40,50,60,70,80,90",,,,,
,viii)  COL-13(WORKING STATUS)," Page-4, Col-13",COL13,2,   N,    32 - 33,    1 - 16,,,,,
,ix)  COL-15(2ND OCCUPATION)," Page-4, Col-15",COL15,2,   N,    34 - 35,     01 - 31       ,,,,,
,x) COL-16(INDUSTRY CODE)," Page-4,Col-16",COL16,2,   N,    36 - 37,"    11 - 15,20,30,40,50,60,70,80,90",,,,,
5,SECTION-1(PAGE-21)  , ,, , ,   ,       ,,,,,
   ,A) QUESTION-1       ,         ,Q-1  ,2,  N,   38  -  39,,,,,,
,B)  QUESTION-2,,Q-2 ,1,  N,   40  -  40,,,,,,
,C)  QUESTION-3,,Q-3 ,1,  N,   41  -  41, ,,,,,
,D)  QUESTION-4, ,Q-4 ,1,   N,   42  -  42, ,,,,,
,E)  QUESTION-5,  ,Q-5 ,2,   N,   43  -  44   ,    ,,,,,
,F)  QUESTION-6,,Q-6   ,2,   N,   45  -  46,   ,,,,,
 ,G)  QUESTION-7,,Q-7  ,1,   N,   47  -  47,   ,,,,,
6,SECTION-2(PAGE-22), ,, ,   ,   ,    ,,,,,
,"A)  QUESTION-8, IST CAUSE", ,Q-8A,2,   N  ,    48   - 49     ,,,,,,
,"B)  QUESTION-8, 2ND CAUSE", ,Q-8B,2,   N,   50   -  51,      ,,,,,
7,SECTION--3(PAGE-23-25),                  ,,,,,,,,,,
,A)  QUESTION-9,              ,Q-9,1,   N,    52  -  52,,,,,,
,B)  QUESTION-10, ,Q-10,2,   N,   53   -  54 ,       ,,,,,
,C)  QUESTION-11,,Q-11,2,   N,    55  -  56,,,,,,
,D)  QUESTION-12, ,Q-12,2,   N,    57  -  58,,,,,,
,E)  QUESTION-13, ,Q-13,2,   N,   59   -  60 ,       ,,,,,
,"F)  QUESTION-14,IST CAUSE",,Q-14A,2,   N,    61  -  62,,,,,,
,"G)  QUESTION-14,2ND CAUSE",,Q-14B,2,   N,    63  -  64,,,,,,
,H)  QUESTION-15, ,Q-15,,,,,,2,   N,    65  -  66,
,I)  QUESTION-16,,Q-16,,,,,,1,   N,   67   -  67 ,       
,"J)  QUESTION-17,YEAR",,Q-17Y,,,,,,2,   N,    68  -  69,
,"K)  QUESTION-17,MONTH",,Q-17M,,,,,,2,   N,    70  -  71,
,L)  QUESTION-18, ,Q-18,,,,,,1,   N,    72  -  72,
,M)  QUESTION-19, ,Q-19,,,,,,2,   N,   73   -  74 ,       
,"N)  QUESTION-20,YEAR",,Q-20Y,,,,,,2,   N,    75  -  76,
,"O)  QUESTION-20,MONTH",,Q-20M,2,   N,    77  -  78,,,,,,
,"P)  QUESTION-21,PAY", ,Q-21P,1,   N,    79  -  79,,,,,,
,"Q)  QUESTION-21,SELF", ,Q-21S,1,   N,   80   -  80 ,       ,,,,,
,R)  QUESTION-22,,Q-22,1,   N,   81   -  81,,,,,,
,SECTION-4(PAGE 26-31),,,     ,,,,,,,,
,A)  QUESTION-23, ,Q-23,1,   N,    82  -  82,,,,,,
,B)  QUESTION-24, ,Q-24,2,   N,   83   -  84 ,       ,,,,,
,C)  QUESTION-25,,Q-25,2,   N,   85  -   86,,,,,,
,D)  QUESTION-26, ,Q-26,1,   N,    87  -  87,,,,,,
,E)  QUESTION-27, ,Q-27,2,   N,   88   -  89 ,       ,,,,,
,F)  QUESTION-28,,Q-28,1,   N,   90   -  90,,,,,,
,G)  QUESTION-29,,Q-29,2,   N,    91  -  92,,,,,,
,H)  QUESTION-30, ,Q-30,1,   N,    93  -  93,,,,,,
,I)  QUESTION-31, ,Q-31,2,   N,   94   -  95 ,       ,,,,,
,J)  QUESTION-32,,Q-32,1,   N,    96  -  96,,,,,,
,K)  QUESTION-33,,Q-33,2,   N,    97  -  98,,,,,,
,L)  QUESTION-34, ,Q-34,2,   N,   99  - 100,,,,,,
,M)  QUESTION-35, ,Q-35,5,   N,  101 - 105 ,       ,,,,,
,N)  QUESTION-36,,Q-36,1,   N,106  - 106,,,,,,
,"O)  QUESTION-37,HOUR",,Q-37H,1,   N,107  - 107,,,,,,
,"P)  QUESTION-37,MINIUTE", ,Q-37M,2,   N, 108  - 109,,,,,,
,Q)  QUESTION-38, ,Q-38,1,   N, 110 -  110,       ,,,,,
,R)  QUESTION-39,,Q-39,1,   N,  111 - 111,,,,,,
,S)  QUESTION-40, ,Q-40,2,   N,  112 - 113 ,       ,,,,,
,T)  QUESTION-41,,Q-41,1,   N,  114 - 114,,,,,,
,U)  QUESTION-42, ,Q-42,2,   N,  115 - 116 ,       ,,,,,
,"V)QUESTION-43,ADMISSION",,Q-43A,6,   N,  117 - 122,,,,,,
,"W) QUESTION-43,UNIFORM", ,Q-43U,6,   N,  123 - 128 ,       ,,,,,
,"X) QUESTION-43,BOOK",,Q-43B,6,  N, 129  - 134,,,,,,
,"Y) QUESTION-43,FEES", ,Q-43F,6,   N, 135  - 140 ,       ,,,,,
,"Z)  QUESTION-43,PAY",,Q-43P,6,, 141  - 146,,,,,,
